Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
05-04-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05-05-2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
05-06-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-07-2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
05-08-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05-09-2001,90,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,90,.
05-10-2001,39,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,39,.
05-11-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05-12-2001,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
05/13/2001,62,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,62,.
05/14/2001,105,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,105,.
05/15/2001,41,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,41,.
05/16/2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
05/17/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/18/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
05/19/2001,43,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,43,.
05/20/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05/21/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/22/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/23/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
05/24/2001,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
05/25/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
05/26/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
05/27/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/28/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
05/29/2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
05/30/2001,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
05/31/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06-01-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-02-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06-03-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
06-04-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06-05-2001,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
06-06-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
06-07-2001,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
06-08-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06-09-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06-10-2001,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
06-11-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
06/13/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/14/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
06/15/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06/16/2001,16,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,16,.
06/17/2001,77,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,77,.
06/18/2001,60,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,60,.
06/19/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06/20/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
06/21/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
06/22/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06/23/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
06/24/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/25/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/26/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
06/27/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
06/28/2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
06/29/2001,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
06/30/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07-01-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07-02-2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
