Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
73.02,27,28,66,14,0,32
209.65,34,29,200,16,0,47
204.18,11,24,197,18,0,36
83.06,15,23,76,18,0,35
65.12,23,28,57,37,0,31
70.86,18,24,62,20,0,46
68.03,24,25,59,38,0,41
204.27,22,19,196,23,0,42
120.55,31,19,110,41,0,50
64.31,34,19,56,19,0,39
68.21,27,16,59,44,0,35
107.56,44,19,97,39,0,48
111.09,31,15,103,27,0,38
88.4,38,19,80,26,0,36
68.8,40,16,60,34,0,36
90.41,55,15,79,38,0,42
81.77,48,26,69,61,0,35
85.33,11,28,75,53,0,32
81.42,43,20,72,31,0,39
148.53,32,27,134,75,0,42
87.97,35,26,74,71,0,42
88.47,54,17,75,34,0,65
111.11,28,10,102,44,0,35
67.76,18,15,60,19,0,41
93.17,23,11,87,15,0,30
118.47,26,25,107,54,0,47
110.4,26,19,102,27,0,41
72.35,40,19,61,36,0,55
129.13,41,23,119,45,0,42
66.59,33,23,59,29,0,32
107.02,26,20,100,31,0,29
79.4,20,15,41,71,0,31
54.99,36,22,46,30,0,41
57.85,38,16,50,19,0,29
78.06,41,18,69,41,0,25
110.76,34,20,61,59,95,71
119.93,28,22,103,50,80,63
85.61,28,17,44,70,71,50
85.08,26,12,44,42,75,37
113.71,25,24,100,31,72,31
90.31,27,21,60,33,76,66
76.95,26,12,52,38,65,53
84.37,25,14,72,29,59,46
72.9,27,20,55,23,61,49
78.72,25,20,60,21,66,52
103.21,24,28,87,44,83,38
69.34,26,17,60,20,44,33
79.34,28,17,29,28,70,44
83.99,22,20,71,20,65,44
77.13,28,22,57,25,64,60
89.58,26,18,46,24,78,54
85.47,32,23,31,31,74,56
110.72,31,21,96,32,70,55
82.99,25,22,37,36,74,38
81.16,34,21,30,30,68,67
96.93,32,26,84,54,54,55
87.7,25,27,51,48,76,43
91.38,24,26,31,23,79,64
73.45,23,25,62,31,51,49
64.11,24,21,36,31,55,40
50.09,23,30,39,41,33,35
83.31,25,25,61,38,70,53
75.48,14,28,64,19,54,46
86.54,14,25,64,15,74,40
51.7,23,24,27,11,42,43
78.04,23,32,65,19,60,55
80.63,26,27,56,39,68,53
77.75,19,32,59,31,65,49
96.1,20,33,47,78,79,72
94.2,26,26,62,41,79,70
109.99,26,28,69,46,94,72
127.6,25,27,61,48,112,72
124.97,41,18,62,56,110,65
86.93,41,27,27,31,77,43
61.12,27,31,33,29,52,40
69.65,23,27,20,31,46,60
88.53,17,30,74,55,48,67
76.33,24,28,54,29,55,64
74.48,24,25,62,55,53,42
85.72,23,22,47,37,75,45
93.59,23,32,74,54,78,46
76.94,27,33,67,33,41,42
79.49,26,25,67,41,53,55
82.87,22,26,29,29,72,54
63.88,23,22,16,19,55,45
111.48,17,32,95,46,81,52
85.76,30,34,54,57,59,72
84.16,32,30,72,31,50,54
122.89,19,33,112,39,49,37
66.99,18,31,30,23,57,48
65.36,15,29,54,34,51,46
70.99,22,32,59,29,52,53
77.49,24,26,39,48,65,57
78.71,22,32,36,30,66,63
91.15,26,35,65,27,77,58
97.33,18,38,62,47,84,37
70.45,25,33,55,27,55,58
113.31,36,31,70,27,95,88
108.1,39,34,62,19,93,69
125.95,25,31,34,44,112,68
117.85,26,35,105,18,59,52
83.67,23,36,70,32,70,25
68.52,23,35,60,24,33,36
78.97,25,29,66,47,58,50
109,26,32,85,55,91,65
94.87,20,39,37,55,82,56
107.37,24,31,90,43,90,43
107.46,16,40,95,45,55,47
86.39,14,42,77,24,39,26
71.23,15,30,26,23,62,44
93.76,17,31,59,31,76,78
113.86,25,30,16,48,97,88
128.86,22,38,114,39,70,52
97.92,23,34,59,68,83,43
75.49,17,36,64,40,52,40
94.39,17,39,82,44,56,42
89.53,18,40,20,20,81,31
99.37,16,30,47,23,42,89
67.52,18,34,50,18,56,52
100.03,27,36,72,42,84,68
