Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
256.73,34,238,43,0,0,106
222.88,60,201,29,0,0,122
151.88,50,132,14,0,0,114
210.6,34,190,56,61,0,105
212.44,47,190,94,0,0,112
231.78,49,210,56,0,0,120
246.93,60,224,29,0,0,129
225.52,56,203,56,0,0,124
210.61,47,190,43,0,0,116
136.87,53,108,43,55,0,116
140.38,42,120,29,0,0,118
199.13,31,182,29,0,0,100
158.73,45,140,29,0,0,106
189.72,87,164,56,0,0,135
267.31,103,243,43,0,0,122
227.16,66,205,43,60,0,112
186.53,35,166,29,61,0,108
249.53,39,232,29,0,0,100
286.08,35,268,29,0,0,105
238.28,69,214,29,0,0,135
229.63,70,205,29,0,0,137
188.91,74,164,29,64,0,129
166.57,79,143,29,52,0,120
144.61,87,122,43,0,0,116
195.28,45,177,14,0,0,105
145.43,49,126,69,0,0,100
222.73,49,202,29,0,0,118
243.96,65,219,43,90,0,122
263.51,59,242,43,0,0,118
249.83,51,229,29,0,0,118
261.53,86,237,29,0,0,131
283.96,136,255,43,0,0,142
248.03,65,228,14,0,0,110
92.29,33,80,14,56,0,57
63.28,24,32,14,0,0,57
66.9,50,32,14,26,0,57
66.98,52,38,14,0,0,57
78.28,52,44,14,0,0,68
63.83,35,26,14,0,0,57
64.87,30,37,14,27,0,57
90.28,59,37,29,0,0,79
115.23,63,44,29,0,0,103
135.08,86,38,14,0,0,120
127.03,99,38,14,0,0,110
124.95,89,40,56,0,0,108
147.48,121,93,69,65,0,122
195.67,131,169,56,0,0,118
187.03,166,67,29,0,0,114
150.51,128,67,43,0,0,122
194.51,142,166,43,0,0,127
178.43,111,122,29,0,0,154
157.03,70,133,29,93,0,116
118.43,57,100,29,0,0,100
99.68,49,51,29,0,0,89
121.03,81,46,29,0,0,106
154.28,135,44,29,0,0,110
165.93,148,38,29,0,0,103
81.51,59,34,14,64,0,68
101.08,89,32,14,0,0,68
105.83,91,48,29,0,0,79
98.73,86,45,14,0,0,68
88.33,49,34,14,0,0,79
125.08,99,33,29,0,0,108
117.22,89,32,29,53,0,100
189.05,170,25,29,0,0,114
141.82,120,32,29,58,0,118
125.88,108,31,29,0,0,105
106.78,91,37,29,0,0,89
189.5,166,35,69,0,0,129
227.01,202,32,56,90,0,125
154.56,120,54,43,0,0,133
112.48,49,37,14,0,0,103
66.23,47,38,14,0,0,57
