Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
05/16/2009,53,PM205,4TH DISTRICT COURT,17-031-6006,AQS,9,42,21,15,53,40
05/17/2009,47,SO2,SE POLICE STATION,17-031-0050,AQS,8,44,47,15,36,47
05/18/2009,48,Ozone,COOK COUNTY TRAILER,17-031-1601,AQS,9,48,16,33,37,46
05/19/2009,90,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,8,90,13,39,52,37
05/20/2009,112,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,9,112,17,57,62,40
05/21/2009,115,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,8,115,19,42,57,54
05/22/2009,111,SO2,NIPSCO Wheatfield,18-073-0002,AQS,10,61,111,40,57,41
05/23/2009,123,SO2,NIPSCO Wheatfield,18-073-0002,AQS,10,97,123,45,77,41
05/24/2009,97,PM205,MAYFAIR PUMP STATION,17-031-0052,AQS,9,64,44,23,97,34
05/25/2009,50,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,44,13,29,50,34
05/26/2009,63,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,13,41,26,38,63,56
05/27/2009,62,NO2,CTA BUILDING,17-031-0063,AQS,16,32,10,27,61,62
05/28/2009,53,PM205,Gary- Madison St0/ Gary Water/ IN American Water Co0,18-089-0031,AQS,11,31,13,19,53,38
05/29/2009,50,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,13,48,34,28,50,46
05/30/2009,61,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,14,61,17,36,61,52
05/31/2009,64,Ozone,SEARS TOWER,17-031-0042,AQS,13,64,44,42,58,50
06-01-2009,61,NO2,CTA BUILDING,17-031-0063,AQS,13,51,20,25,56,61
06-02-2009,56,SO2,NIPSCO Wheatfield,18-073-0002,AQS,16,47,56,19,54,42
06-03-2009,82,SO2,NIPSCO Wheatfield,18-073-0002,AQS,14,41,82,16,47,39
06-04-2009,55,NO2,CTA BUILDING,17-031-0063,AQS,13,50,46,22,33,55
06-05-2009,67,Ozone,VILLAGE GARAGE,17-031-0001,AQS,11,67,30,49,58,57
06-06-2009,80,Ozone,SEARS TOWER,17-031-0042,AQS,11,80,52,50,62,53
06-07-2009,71,Ozone,SEARS TOWER,17-031-0042,AQS,7,71,16,27,70,49
06-08-2009,77,PM205,4TH DISTRICT COURT,17-031-6006,AQS,8,45,27,32,77,41
06-09-2009,52,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,38,30,19,52,29
06-10-2009,111,SO2,NIPSCO Wheatfield,18-073-0002,AQS,7,45,111,17,55,57
06-11-2009,66,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,39,23,28,66,42
06-12-2009,64,SO2,NIPSCO Wheatfield,18-073-0002,AQS,9,47,64,40,54,49
06/13/2009,54,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,54,40,17,54,49
06/14/2009,80,SO2,NIPSCO Wheatfield,18-073-0002,AQS,8,71,80,22,53,50
06/15/2009,100,Ozone,SEARS TOWER,17-031-0042,AQS,14,100,40,31,60,47
06/16/2009,87,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,6,87,11,35,76,40
06/17/2009,101,Ozone,SEARS TOWER,17-031-0042,AQS,8,101,11,29,89,50
06/18/2009,87,Ozone,SEARS TOWER,17-031-0042,AQS,10,87,19,48,81,69
06/19/2009,53,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,42,16,24,53,34
06/20/2009,80,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,8,80,70,38,61,57
06/21/2009,83,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,11,80,19,31,83,44
06/22/2009,119,Ozone,SEARS TOWER,17-031-0042,AQS,9,119,21,34,62,85
06/23/2009,169,Ozone,SEARS TOWER,17-031-0042,AQS,14,169,39,55,89,62
06/24/2009,136,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,13,136,31,59,78,74
06/25/2009,202,Ozone,SEARS TOWER,17-031-0042,AQS,13,202,40,42,69,57
06/26/2009,87,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,8,87,40,30,62,46
06/27/2009,122,Ozone,SEARS TOWER,17-031-0042,AQS,7,122,33,32,54,38
06/28/2009,109,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,6,43,109,65,59,32
