Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
72,30,34,54,57,59,72,85.76
72,32,30,72,31,50,54,84.16
112,19,33,112,39,49,37,122.89
57,18,31,30,23,57,48,66.99
54,15,29,54,34,51,46,65.36
59,22,32,59,29,52,53,70.99
65,24,26,39,48,65,57,77.49
66,22,32,36,30,66,63,78.71
77,26,35,65,27,77,58,91.15
84,18,38,62,47,84,37,97.33
58,25,33,55,27,55,58,70.45
95,36,31,70,27,95,88,113.31
93,39,34,62,19,93,69,108.1
112,25,31,34,44,112,68,125.95
105,26,35,105,18,59,52,117.85
70,23,36,70,32,70,25,83.67
60,23,35,60,24,33,36,68.52
66,25,29,66,47,58,50,78.97
91,26,32,85,55,91,65,109
82,20,39,37,55,82,56,94.87
90,24,31,90,43,90,43,107.37
95,16,40,95,45,55,47,107.46
77,14,42,77,24,39,26,86.39
62,15,30,26,23,62,44,71.23
78,17,31,59,31,76,78,93.76
97,25,30,16,48,97,88,113.86
114,22,38,114,39,70,52,128.86
83,23,34,59,68,83,43,97.92
64,17,36,64,40,52,40,75.49
82,17,39,82,44,56,42,94.39
81,18,40,20,20,81,31,89.53
89,16,30,47,23,42,89,99.37
56,18,34,50,18,56,52,67.52
84,27,36,72,42,84,68,100.03
105,23,22,70,61,105,57,120.37
93,25,35,50,36,75,93,108.42
69,26,39,66,12,69,44,82.52
51,23,41,36,24,51,51,62.13
61,26,30,61,26,55,43,72.78
98,19,31,62,44,98,50,111.49
95,13,34,95,32,59,52,107.9
139,14,41,139,33,38,65,152.36
88,22,44,81,34,88,49,104.38
153,25,46,153,31,61,58,166.84
74,24,44,74,29,61,44,87.05
85,28,39,49,35,83,85,101.66
62,27,40,62,23,55,47,74.17
58,28,45,26,41,58,54,69.99
74,19,74,69,59,60,54,89.8
64,18,35,39,42,64,51,75.41
97,23,44,97,28,73,50,112.12
74,27,67,29,52,74,43,88.36
108,17,108,40,65,61,51,122.79
64,14,64,36,38,56,42,76.12
71,15,71,44,44,70,62,86.51
58,16,58,43,57,57,55,71.52
138,17,46,138,46,60,46,151.31
97,14,47,97,21,58,20,109.01
56,10,40,56,8,37,25,64.63
61,17,46,57,18,46,61,73.3
77,26,46,23,20,70,77,90.98
107,25,48,107,44,77,55,123.39
115,18,44,115,55,66,46,129.63
56,25,48,56,34,48,53,68.24
60,24,45,34,31,60,51,71.44
68,18,41,59,35,68,28,80.34
60,20,49,50,35,53,60,72.33
60,28,42,60,27,49,53,72.07
55,27,46,55,32,49,52,67.08
66,15,43,54,41,66,43,78.08
46,23,42,43,27,33,46,55.98
77,28,77,69,23,47,72,92.98
107,27,97,107,35,60,48,126.48
53,24,49,40,16,52,53,64.69
44,22,37,44,15,41,36,53.31
72,26,32,13,28,72,34,79.91
69,22,42,69,28,33,30,78.33
66,26,58,66,35,54,62,80.24
73,28,50,19,31,73,49,84.32
55,18,44,11,20,55,40,64.47
68,16,46,61,23,52,68,81.29
99,26,48,99,31,64,55,113.19
80,36,80,23,68,55,56,95.05
56,19,43,56,23,40,56,68
107,19,40,107,21,30,48,117.41
47,25,43,47,23,27,42,56.82
56,27,47,56,19,47,45,67.03
78,13,39,65,31,35,78,91.15
65,27,44,65,20,33,56,77
86,27,49,86,25,58,52,99.07
84,19,84,34,58,72,58,99.73
75,17,34,75,19,36,38,83.73
55,20,31,37,15,55,31,63.27
58,25,58,31,20,53,49,69.72
97,25,97,47,23,58,53,110.02
90,30,71,56,50,90,71,106.62
69,25,51,34,61,69,52,82.7
87,22,87,43,61,76,55,103.63
82,15,71,82,56,57,77,99.51
161,18,161,110,56,80,55,183.9
67,14,51,64,31,67,42,80.75
83,16,45,51,40,83,82,99.71
98,27,44,60,34,91,98,116.48
71,13,35,54,20,53,71,82.98
65,30,43,59,28,65,55,78.34
106,28,80,57,38,80,106,124.18
154,28,154,75,49,78,110,177.16
192,32,192,60,56,91,109,215.54
83,22,67,27,55,79,83,100.06
48,15,48,43,22,41,48,58.76
69,20,37,69,28,60,65,83.25
56,20,27,31,39,56,41,65.46
61,19,37,61,18,57,48,73.25
70,10,50,70,19,38,45,80.99
72,13,44,60,14,57,72,85.14
107,22,51,107,29,53,70,121.97
115,27,115,54,46,67,68,130.82
166,27,166,24,54,94,73,185.61
164,24,164,52,77,97,87,185.72
204,25,204,76,67,119,93,229.61
223,31,223,111,74,121,99,250.47
219,32,219,64,62,134,102,247.04
215,39,215,85,76,102,89,238.36
88,33,84,50,55,88,85,107.38
108,19,108,55,31,52,79,124.45
70,17,44,70,21,43,54,81.75
115,31,115,87,37,76,96,136.32
143,36,143,51,45,73,64,159.43
187,27,187,56,45,84,61,204.94
98,18,49,43,57,98,53,111.22
82,20,61,75,63,82,52,98.86
154,25,154,49,76,114,84,178.05
90,20,90,51,43,77,51,106.18
108,16,108,61,33,42,36,120.79
119,30,119,50,33,65,65,133.96
177,39,177,76,47,101,66,198.6
156,27,156,81,56,96,85,177.66
90,18,90,41,33,63,52,103.71
54,11,49,24,28,52,54,65.4
49,17,49,36,33,37,48,59.6
93,27,93,47,40,54,48,105.51
126,23,126,49,49,63,52,140.24
192,49,192,92,35,65,86,212.73
208,18,208,81,54,87,100,230.23
164,16,164,114,58,102,110,189.96
164,20,164,40,72,125,105,190.44
212,16,212,57,62,112,101,236.39
83,17,54,47,38,83,72,98.37
154,19,154,51,47,73,67,170.45
105,19,105,50,37,71,70,121.08
77,15,77,52,44,67,73,93.37
51,10,43,27,31,45,51,61.16
