Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
11/24/2013,50,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,0,29,23,20,50,27
11/25/2013,53,PM10,VILLAGE HALL,17-031-1016,AQS,1,21,13,53,52,40
11/26/2013,58,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,26,11,48,58,32
11/27/2013,75,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,2,28,52,64,75,36
11/28/2013,56,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,2,20,14,35,56,29
11/29/2013,68,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,24,24,44,68,53
11/30/2013,75,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,2,28,17,38,75,42
12-01-2013,91,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,5,22,6,46,91,43
12-02-2013,91,PM2.5,CARY GROVE HS,17-111-0001,AQS,8,26,17,50,91,61
12-03-2013,117,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,14,6,54,117,33
12-04-2013,91,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,17,6,46,91,30
12-05-2013,53,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,2,23,16,26,53,25
12-06-2013,59,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,21,6,34,59,33
12-07-2013,71,SO2,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,25,71,33,65,37
12-08-2013,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,31,6,33,60,34
12-09-2013,70,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,24,33,36,70,26
12-10-2013,58,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,30,41,54,58,39
12-11-2013,63,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,29,23,38,63,42
12-12-2013,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,26,26,57,60,42
12/13/2013,76,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,24,26,59,76,49
12/14/2013,72,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,24,13,31,72,29
12/15/2013,65,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,27,27,31,65,25
12/16/2013,68,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,28,14,36,68,57
12/17/2013,72,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,32,24,33,72,35
12/18/2013,55,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,6,32,21,46,55,39
12/19/2013,69,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,14,31,6,48,69,44
12/20/2013,73,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,22,4,23,73,43
12/21/2013,65,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,7,27,7,26,65,26
12/22/2013,53,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,33,7,16,53,26
12/23/2013,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,25,26,32,60,28
12/24/2013,62,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,20,11,37,62,31
12/25/2013,61,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,31,10,26,61,24
12/26/2013,56,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,6,31,34,27,56,45
12/27/2013,67,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,7,24,10,37,67,40
12/28/2013,58,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,30,10,29,58,31
12/29/2013,56,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,31,17,22,56,28
12/30/2013,59,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,26,40,57,59,34
12/31/2013,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,24,24,31,66,38
01-01-2014,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,36,36,33,60,38
01-02-2014,62,SO2,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,32,62,25,55,43
01-03-2014,63,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,31,20,31,63,58
01-04-2014,53,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,8,29,11,31,53,37
01-05-2014,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,34,55,47,66,32
01-06-2014,50,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,31,24,14,50,22
01-07-2014,54,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,31,17,21,54,54
01-08-2014,102,NO2,IEPA TRAILER,17-031-3103,AQS,13,28,23,31,97,102
01-09-2014,110,PM2.5,Hammond- Purdue/ Powers Bldg. Purdue University,18-089-2004,AQS,17,21,11,40,110,91
01-10-2014,72,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,6,20,7,20,72,33
01-11-2014,60,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,31,19,18,60,24
01-12-2014,54,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,31,10,13,54,23
01/13/2014,40,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,26,26,13,40,38
01/14/2014,57,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,5,31,24,19,57,34
01/15/2014,63,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,31,24,34,63,37
01/16/2014,52,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,31,21,22,52,34
01/17/2014,54,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,28,16,32,54,30
01/18/2014,60,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,10,24,20,29,60,46
01/19/2014,64,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,31,31,27,64,40
01/20/2014,62,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,38,55,52,62,42
01/21/2014,52,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,36,23,31,52,47
01/22/2014,69,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,8,31,44,37,69,42
01/23/2014,65,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,33,41,33,65,36
01/24/2014,55,PM10,WASHINGTON HS,17-031-0022,AQS,7,29,16,55,46,36
01/25/2014,72,SO2,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,39,72,32,61,36
01/26/2014,44,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,6,36,16,28,44,29
01/27/2014,35,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,6,35,19,26,35,31
01/28/2014,53,NO2,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,31,10,39,40,53
01/29/2014,56,PM10,VILLAGE HALL,17-031-1016,AQS,7,30,14,56,43,44
01/30/2014,55,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,7,31,7,48,55,32
01/31/2014,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,31,34,45,66,51
02-01-2014,86,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,26,9,35,86,46
02-02-2014,78,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,38,11,39,78,58
02-03-2014,102,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,16,31,24,52,102,71
02-04-2014,87,PM2.5,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,16,35,13,47,87,71
02-05-2014,55,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,37,4,21,55,48
02-06-2014,68,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,31,14,36,68,47
02-07-2014,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,33,9,52,66,47
02-08-2014,81,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,33,16,36,81,47
02-09-2014,91,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,10,41,24,37,91,45
02-10-2014,80,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,32,11,44,80,49
