Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
09-03-2017,57,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,48,10,23,57,28
09-04-2017,62,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,41,17,40,62,29
09-05-2017,56,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,33,13,56,56,23
09-06-2017,32,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,20,7,32,26,24
09-07-2017,35,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,3,35,23,30,30,33
09-08-2017,37,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,6,37,7,22,35,35
09-09-2017,40,Ozone,VILLAGE GARAGE,17-031-0001,AQS,5,40,6,10,35,24
09-10-2017,43,PM2.5,MCKINLEY SCHOOL,17-089-0003,AQS,3,39,6,17,43,32
09-11-2017,49,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,6,40,13,17,49,34
09-12-2017,64,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,64,10,19,47,38
09/13/2017,77,PM2.5,MAYFAIR PUMP STATION,17-031-0052,AQS,7,51,4,12,77,42
09/14/2017,86,NO2,COM ED MAINTENANCE BLDG,17-031-0076,AQS,3,58,6,12,58,86
09/15/2017,71,Ozone,MORTON ARBORETUM,17-043-6001,AQS,5,71,6,17,52,36
09/16/2017,90,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,3,90,6,30,59,23
09/17/2017,77,Ozone,WATER PLANT,17-031-7002,AQS,6,77,7,25,55,18
09/18/2017,43,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,3,43,7,13,36,23
09/19/2017,54,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,47,3,17,54,31
09/20/2017,61,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,5,58,6,42,61,27
09/21/2017,97,Ozone,SOUTH WATER FILTRATION PLANT,17-031-0032,AQS,6,97,11,43,64,46
09/22/2017,133,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,7,133,46,45,66,43
09/23/2017,115,Ozone,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,115,10,47,64,42
09/24/2017,136,Ozone,KENOSHA - WATER TOWER,55-059-0025,AQS,6,136,11,38,60,47
09/25/2017,112,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,112,13,38,57,48
09/26/2017,87,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,5,87,4,54,57,42
09/27/2017,46,NO2,CTA BUILDING,17-031-0063,AQS,3,39,3,42,25,46
09/28/2017,42,NO2,COOK COUNTY TRAILER,17-031-4002,AQS,3,39,9,24,33,42
09/29/2017,62,PM10,Portage- Hwy 12,18-127-0023,AQS,7,33,4,62,31,28
09/30/2017,37,Ozone,LARSEN JUNIOR HIGH,17-089-0005,AQS,7,37,20,13,26,27
10-01-2017,44,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,3,44,11,22,32,27
10-02-2017,64,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,2,64,51,32,42,27
10-03-2017,47,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,2,34,1,29,47,23
10-04-2017,52,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,5,35,3,16,52,34
10-05-2017,35,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,7,32,10,21,35,26
