Overall AQI Value,Ozone,PM25,NO2
69,42,33,30
66,58,54,62
73,50,73,49
55,44,55,40
68,46,52,68
99,48,64,55
80,80,55,56
56,43,40,56
107,40,30,48
47,43,27,42
56,47,47,45
78,39,35,78
65,44,33,56
86,49,58,52
84,84,72,58
75,34,36,38
55,31,55,31
58,58,53,49
97,97,58,53
90,71,90,71
69,51,69,52
87,87,76,55
82,71,57,77
161,161,80,55
67,51,67,42
83,45,83,82
98,44,91,98
71,35,53,71
65,43,65,55
106,80,80,106
154,154,78,110
192,192,91,109
83,67,79,83
48,48,41,48
69,37,60,65
56,27,56,41
61,37,57,48
70,50,38,45
72,44,57,72
107,51,53,70
115,115,67,68
166,166,94,73
164,164,97,87
204,204,119,93
223,223,121,99
219,219,134,102
215,215,102,89
88,84,88,85
108,108,52,79
70,44,43,54
115,115,76,96
143,143,73,64
187,187,84,61
98,49,98,53
82,61,82,52
154,154,114,84
90,90,77,51
108,108,42,36
119,119,65,65
177,177,101,66
156,156,96,85
90,90,63,52
54,49,52,54
49,49,37,48
93,93,54,48
126,126,63,52
192,192,65,86
208,208,87,100
164,164,102,110
164,164,125,105
212,212,112,101
83,54,83,72
154,154,73,67
105,105,71,70
77,77,67,73
51,43,45,51
87,51,33,87
85,51,80,85
203,203,102,91
80,74,66,80
71,71,66,68
69,44,52,69
161,161,58,86
161,161,84,102
93,93,90,85
72,51,54,54
147,147,72,73
150,150,104,46
84,84,62,69
91,36,62,91
77,42,40,39
76,58,48,61
150,150,69,64
177,177,88,79
217,217,93,52
115,115,80,49
53,46,53,47
57,35,48,57
63,61,63,50
57,44,55,57
54,45,54,31
116,49,53,44
51,43,40,51
53,44,53,53
101,101,90,70
64,46,53,64
100,46,65,72
67,67,66,57
93,93,70,52
102,54,56,52
101,101,73,56
89,67,58,55
108,108,71,57
122,122,78,53
122,122,86,54
119,119,96,52
78,74,78,41
91,44,55,58
87,58,47,87
75,50,44,71
129,129,74,85
195,195,94,79
195,195,132,83
154,154,115,87
139,115,88,72
61,42,37,43
76,50,64,56
96,87,61,70
